user_name,user_handler,text,created_at,user_location,source
È¶ôÊ∏Ø„Åßsake and rain2,Rain2And,RT @TamaraMcCleary: The data brokers quietly buying and selling your personal information https://t.co/nReVLFnI8l via @FastCompany #BigData‚Ä¶,Tue Apr 02 04:57:38 +0000 2019,Far East Asia,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Kathleen Jacobs,deeplearning_kj,"6 Types of #Twitter #SocialMedia Networks [#INFOGRAPHICS] 
by @nodexl 

#InternetOfThings #DigitalMarketingÖ https://t.co/NuS5lpDWmT",Tue Apr 02 04:58:19 +0000 2019,"Loop, Chicago","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
Radhika tyagi SEO,seo_tyagi,"Datatrained Institute in Bangalore feels proud by announcing that, we placed each and every student of our institutÖ https://t.co/zbQWlA1sIf",Tue Apr 02 04:58:28 +0000 2019,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
Kimberly Duncan,kimberl87759219,"ì #IoT attacks: #Top10 things you need to know"" #Infographic #CyberSecurity #infosec #Security #DDoS #BigDataÖ https://t.co/fJqiSjXfUF",Tue Apr 02 04:58:58 +0000 2019,"Loop, Chicago","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
forunr.com,forunrdotcom,"Ready to follow a beautiful running route at Bonifacio (Corsica)? 

https://t.co/EWaU1o1iVB

#running #aiÖ https://t.co/emC9HgXKge",Tue Apr 02 04:59:03 +0000 2019,"Metz, France","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
shweta,shwetaalea01,RT @IanLJones98: 6 forces transforming Healthcare by @VisualCap via @Mikequindazzi #HealthTech #AI #IoT #BigData #Robotics #DataScience #DaÖ,Tue Apr 02 04:59:16 +0000 2019,"Jaipur, India","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
Dataquest,dataquestio,RT @ben_j_lindsay: Bookmark https://t.co/qsKCrtZVn8,Tue Apr 02 05:00:00 +0000 2019,"San Francisco, CA","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
Wesley Backelant,WesleyBackelant,Step up your machine learning process with Azure Machine Learning service @ https://t.co/LlZYYEYacv #ai #ml #azure #datascience,Tue Apr 02 05:00:11 +0000 2019,"Brecht, Belgium","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>"
ipfconline,ipfconline1,Python Examples of Popular #MachineLearning Algorithms with Interactive Jupyter Demos and Math Being ExplainedÖ https://t.co/gGPO0G4ncf,Tue Apr 02 05:00:16 +0000 2019,"Marseille, France","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>"
Sevilla MakerSociety,MakerSocietySVQ,"RT @_SevillaR: PrÛxima reuniÛn MARTES 2 ABRIL: 

SelecciÛn de Variables en #MachineLearning 
https://t.co/1WA64JBDPB

#rstats #rstatsES #DaÖ",Tue Apr 02 05:00:19 +0000 2019,"Sevilla, EspaÒa","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Kimberly Duncan,kimberl87759219,"#Blockchain &amp; #Bitcoin In different ages !
#FinTech #IoT #SmartCity #startups #Security #DataScience #BigDataÖ https://t.co/iYde6Zoqwm",Tue Apr 02 05:00:30 +0000 2019,"Loop, Chicago","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
